ScienceCenters,ContinuousMonitoring,DiscreteMonitoring,HydrographicSurveys,FloodScience,Geomorphology,Hazards,Modeling,EmergingIssues,Labs,MitigationEfforts,AtmosphericDepositon,HABs,TechnicalAssistance,WaterUse,AnalysisOfTrends,AirMonitoring,WaterAvailability,EnvironmentalAndHumanHealth,EnergyAndMinerals,Other,Totals,
IA WSC,2984944,603014,0,346724,0,0,190217,0,53826,0,0,2699,251820,0,82052,0,0,0,0,0,4515296
IL WSC,4769412,182292,158140,407319,298367,9850,468654,54775,0,21035,0,155341,540347,49500,266932,0,101841,0,0,619437,8103242
IN-KY WSC,7384464,2722646,314200,611982,0,0,19000,0,134856,0,20100,0,27500,0,36400,832942.77,67026,0,0,0,12171116.77
MI WSC,4247893,783702,0,77300,0,0,27727,0,39916,0,0,35228,79442,238000,354538,0,45000,0,0,0,5928746
MN WSC,2950058,348696,482097,123667,6517,0,840752,625031,0,241800,0,0,277202,50000,326783,0,369847,185000,470510,50000,7347960
MO WSC,4126293,1909455,135170,17968,196420,16000,86566,64530,378803,0,0,0,113916,0,130151,37468,414700,239530,0,24716,7891686
NE WSC,2154177,1251962,69922,86500,90586,0,940955,0,0,20741,0,96313,0,0,0,0,0,0,0,124505,4835661
ND WSC,2004613,1037776,79600,0,0,0,158150,40000,0,0,0,0,66200,42800,245718,0,42800,56000,56000,0,3829657
OH WSC,6184744,882964,0,103800,0,0,126325,0,141348.59,28553,0,161790.93,384868,20800,24500,0,0,195021,0,0,8254714.52
SD WSC,2315531,207613,69500,0,0,0,986038,100000,26094,0,8800,0,144065,31000,97000,0,86250,0,0,0,4071891
WI WSC,3328023,2164612,0,323484,159584,51775,1735522,885493,291778,446640,0,5233,1029548,65361,70101,0,203965,1266528,31750,0,12059397
EERSC/EMERSC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283895,283895
CERC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1263885,1263885
NWHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132508,132508
TOTALS,42450152,12094732,1308629,2098744,751474,77625,5579906,1769829,1066621.59,758769,28900,456604.93,2914908,497461,1634175,870410.77,1331429,1942079,558260,2366438,80689655.29
