state,total,appropriated,reimbursable,rank
Alabama,0,0,0,
Alaska,0,0,0,
Arizona,0,0,0,
Arkansas,0,0,0,
California,0,0,0,
Colorado,0,0,0,
Connecticut,0,0,0,
Delaware,3000,3000,0,10
Florida,0,0,0,
Georgia,0,0,0,
Hawaii,0,0,0,
Idaho,0,0,0,
Illinois,45000,45000,0,4
Indiana,0,0,0,
Iowa,15000,15000,0,6
Kansas,0,0,0,
Kentucky,0,0,0,
Louisiana,0,0,0,
Maine,0,0,0,
Maryland,3000,3000,0,11
Massachusetts,0,0,0,
Michigan,15000,15000,0,7
Minnesota,0,0,0,
Mississippi,0,0,0,
Missouri,0,0,0,
Montana,0,0,0,
Nebraska,55343,49500,5843,2
Nevada,0,0,0,
New Hampshire,0,0,0,
New Jersey,0,0,0,
New Mexico,0,0,0,
New York,0,0,0,
North Carolina,0,0,0,
North Dakota,46000,46000,0,3
Ohio,10346,10346,0,8
Oklahoma,0,0,0,
Oregon,0,0,0,
Pennsylvania,5000,5000,0,9
Rhode Island,0,0,0,
South Carolina,0,0,0,
South Dakota,116922,116922,0,1
Tennessee,0,0,0,
Texas,0,0,0,
Utah,0,0,0,
Vermont,0,0,0,
Virginia,0,0,0,
Washington,0,0,0,
West Virginia,0,0,0,
Wisconsin,20000,20000,0,5
Wyoming,0,0,0,
